modelo,model_short,is_slm,n_rows,n_parsed,n_correct,total_cost,accuracy_pct,tasks_observed,total_cost_usd,cost_per_1k,cost_per_1k_plot,zero_cost
zai-org/GLM-5.1,GLM-5.1,False,2595,2563,2329,9.44602225,90.8700741318767,2563,9.44602225,3.6855334568864615,3.6855334568864615,False
google/gemma-4-31B-it,gemma-4-31B-it,False,2595,2595,2320,0.41937381,89.40269749518305,2595,0.41937381,0.16160840462427745,0.16160840462427745,False
deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,False,2595,2595,2273,0.36704878,87.59152215799615,2595,0.36704878,0.14144461657032759,0.14144461657032759,False
deepseek-ai/DeepSeek-V3.2,DeepSeek-V3.2,False,2595,2593,2265,0.6524966600000001,87.35055919784034,2593,0.6524966600000001,0.2516377400694177,0.2516377400694177,False
Qwen/Qwen3.5-4B,Qwen3.5-4B,True,2595,2590,2176,1.1831361599999999,84.01544401544402,2590,1.1831361599999999,0.4568093281853281,0.4568093281853281,False
meta-llama/Llama-3.3-70B-Instruct-Turbo,Llama-3.3-70B-Instruct-Turbo,False,2595,2595,2046,0.31950214,78.84393063583815,2595,0.31950214,0.1231222119460501,0.1231222119460501,False
google/gemma-3-27b-it,gemma-3-27b-it,False,2595,2594,2042,0.2229732,78.7201233616037,2594,0.2229732,0.08595728604471858,0.08595728604471858,False
google/gemma-3-12b-it,gemma-3-12b-it,True,2595,2595,1872,0.13172473,72.13872832369943,2595,0.13172473,0.05076097495183045,0.05076097495183045,False
meta-llama/Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,True,2595,2580,1606,0.06233827,62.248062015503876,2580,0.06233827,0.024162120155038762,0.024162120155038762,False
Qwen/Qwen3.5-2B,Qwen3.5-2B,True,2595,2570,1534,0.11149074,59.688715953307394,2570,0.11149074,0.043381610894941636,0.043381610894941636,False
google/gemma-3-4b-it,gemma-3-4b-it,True,2595,2587,1530,0.11515908,59.14186316196366,2587,0.11515908,0.044514526478546576,0.044514526478546576,False
Qwen/Qwen3.5-0.8B,Qwen3.5-0.8B,True,2595,2567,1147,0.055136370000000004,44.68250876509544,2567,0.055136370000000004,0.021478913128165175,0.021478913128165175,False
