modelo,model_short,is_slm,n_rows,n_parsed,n_correct,total_cost,accuracy_pct,tasks_observed,total_cost_usd,cost_per_1k,cost_per_1k_plot,zero_cost
zai-org/GLM-5.1,GLM-5.1,False,485,479,449,1.74437585,93.73695198329854,479,1.74437585,3.596651237113402,3.596651237113402,False
google/gemma-4-31B-it,gemma-4-31B-it,False,485,485,448,0.08498058,92.37113402061856,485,0.08498058,0.17521769072164947,0.17521769072164947,False
deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,False,485,485,435,0.07218638000000001,89.69072164948453,485,0.07218638000000001,0.14883789690721652,0.14883789690721652,False
deepseek-ai/DeepSeek-V3.2,DeepSeek-V3.2,False,485,485,429,0.12854926,88.45360824742268,485,0.12854926,0.2650500206185567,0.2650500206185567,False
Qwen/Qwen3.5-4B,Qwen3.5-4B,True,485,485,415,0.24023139,85.56701030927834,485,0.24023139,0.4953224536082474,0.4953224536082474,False
meta-llama/Llama-3.3-70B-Instruct-Turbo,Llama-3.3-70B-Instruct-Turbo,False,485,485,384,0.06479084,79.17525773195877,485,0.06479084,0.13358936082474226,0.13358936082474226,False
google/gemma-3-27b-it,gemma-3-27b-it,False,485,485,382,0.0446636,78.76288659793815,485,0.0446636,0.09208989690721649,0.09208989690721649,False
google/gemma-3-12b-it,gemma-3-12b-it,True,485,485,363,0.02598363,74.84536082474227,485,0.02598363,0.05357449484536082,0.05357449484536082,False
google/gemma-3-4b-it,gemma-3-4b-it,True,485,484,290,0.023320280000000002,59.917355371900825,484,0.023320280000000002,0.04808305154639175,0.04808305154639175,False
Qwen/Qwen3.5-2B,Qwen3.5-2B,True,485,479,272,0.02342996,56.78496868475992,479,0.02342996,0.04830919587628866,0.04830919587628866,False
meta-llama/Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,True,485,483,263,0.01254009,54.45134575569358,483,0.01254009,0.025855855670103095,0.025855855670103095,False
Qwen/Qwen3.5-0.8B,Qwen3.5-0.8B,True,485,482,211,0.00976468,43.77593360995851,482,0.00976468,0.020133360824742267,0.020133360824742267,False
