model_short,Biology,Chemistry,English,Geography,History,Mathematics,Philosophy,Physics,Portuguese
GLM-5.1,90.83969465648855,90.0,95.09803921568627,92.76315789473685,95.78313253012048,91.22807017543859,100.0,91.30434782608695,93.78238341968913
gemma-4-31B-it,93.93939393939394,85.60606060606061,97.05882352941177,92.76315789473685,95.18072289156626,85.39325842696628,100.0,87.85714285714286,91.19170984455958
DeepSeek-V4-Flash,88.63636363636364,82.57575757575758,93.13725490196079,92.10526315789474,93.97590361445783,80.33707865168539,100.0,88.57142857142857,88.60103626943005
DeepSeek-V3.2,86.36363636363636,84.84848484848484,93.13725490196079,90.78947368421053,93.97590361445783,83.70786516853933,94.44444444444444,85.0,82.90155440414507
Qwen3.5-4B,88.63636363636364,84.84848484848484,90.19607843137256,80.92105263157895,86.66666666666667,87.00564971751412,88.88888888888889,86.42857142857143,77.720207253886
Llama-3.3-70B-Instruct-Turbo,81.81818181818183,71.96969696969697,89.2156862745098,82.89473684210526,91.56626506024097,60.1123595505618,94.44444444444444,65.71428571428571,78.75647668393782
gemma-3-27b-it,78.78787878787878,58.333333333333336,90.19607843137256,74.3421052631579,84.93975903614458,73.03370786516854,94.44444444444444,70.71428571428572,72.02072538860104
gemma-3-12b-it,68.18181818181817,56.81818181818182,84.31372549019608,71.71052631578947,81.32530120481928,65.73033707865169,100.0,62.142857142857146,67.35751295336787
gemma-3-4b-it,59.84848484848485,49.24242424242424,73.52941176470588,51.973684210526315,68.07228915662651,44.88636363636363,83.33333333333334,42.857142857142854,59.58549222797927
Qwen3.5-2B,55.3030303030303,49.24242424242424,70.58823529411765,52.317880794701985,66.86746987951807,42.42424242424242,88.88888888888889,51.798561151079134,53.8860103626943
Meta-Llama-3.1-8B-Instruct,60.60606060606061,43.18181818181818,74.50980392156863,58.55263157894737,70.48192771084338,34.48275862068966,77.77777777777779,41.726618705035975,56.994818652849744
Qwen3.5-0.8B,44.61538461538462,34.883720930232556,58.82352941176471,42.76315789473684,43.373493975903614,26.744186046511626,61.111111111111114,39.85507246376812,40.932642487046635
