model_short,Biology,Chemistry,English,Geography,History,Mathematics,Philosophy,Physics,Portuguese
GLM-5.1,90.54054054054053,90.47619047619048,98.0,92.5531914893617,95.83333333333334,90.36144578313254,100.0,87.34177215189874,89.90825688073394
gemma-4-31B-it,94.66666666666667,84.70588235294117,98.0,91.48936170212765,95.83333333333334,83.9080459770115,100.0,84.81012658227847,87.1559633027523
DeepSeek-V4-Flash,90.66666666666666,82.35294117647058,96.0,91.48936170212765,95.83333333333334,74.71264367816092,100.0,86.07594936708861,83.4862385321101
DeepSeek-V3.2,84.0,84.70588235294117,96.0,87.2340425531915,95.83333333333334,81.60919540229885,100.0,84.81012658227847,78.89908256880734
Qwen3.5-4B,90.66666666666666,84.70588235294117,96.0,81.91489361702128,84.21052631578947,84.88372093023256,90.0,83.54430379746836,74.31192660550458
Llama-3.3-70B-Instruct-Turbo,78.66666666666666,70.58823529411765,98.0,82.97872340425532,91.66666666666666,58.620689655172406,90.0,54.43037974683544,75.22935779816514
gemma-3-27b-it,77.33333333333333,57.647058823529406,94.0,75.53191489361703,86.45833333333334,66.66666666666666,100.0,65.82278481012658,66.05504587155964
gemma-3-12b-it,65.33333333333333,55.294117647058826,90.0,69.14893617021278,82.29166666666666,57.47126436781609,100.0,51.89873417721519,61.46788990825688
Meta-Llama-3.1-8B-Instruct,57.333333333333336,40.0,82.0,62.76595744680851,69.79166666666666,32.94117647058823,70.0,35.8974358974359,56.88073394495413
Qwen3.5-2B,44.0,49.411764705882355,82.0,53.76344086021505,66.66666666666666,45.0,90.0,47.43589743589743,50.45871559633027
gemma-3-4b-it,57.333333333333336,47.05882352941176,88.0,52.12765957446809,63.541666666666664,36.04651162790697,90.0,34.177215189873415,53.21100917431193
Qwen3.5-0.8B,36.986301369863014,33.734939759036145,72.0,45.744680851063826,43.75,24.096385542168676,50.0,28.57142857142857,36.69724770642202
