model_short,Biology,Chemistry,English,Geography,History,Mathematics,Philosophy,Physics,Portuguese
GLM-5.1,91.22807017543859,89.13043478260869,92.3076923076923,93.10344827586206,95.71428571428572,92.04545454545455,100.0,96.61016949152543,98.80952380952381
gemma-4-31B-it,92.98245614035088,87.2340425531915,96.15384615384616,94.82758620689656,94.28571428571428,86.81318681318682,100.0,91.80327868852459,96.42857142857143
DeepSeek-V4-Flash,85.96491228070175,82.97872340425532,90.38461538461539,93.10344827586206,91.42857142857143,85.71428571428571,100.0,91.80327868852459,95.23809523809523
DeepSeek-V3.2,89.47368421052632,85.1063829787234,90.38461538461539,96.55172413793103,91.42857142857143,85.71428571428571,87.5,85.24590163934425,88.09523809523809
Qwen3.5-4B,85.96491228070175,85.1063829787234,84.61538461538461,79.3103448275862,90.0,89.01098901098901,87.5,90.1639344262295,82.14285714285714
Llama-3.3-70B-Instruct-Turbo,85.96491228070175,74.46808510638297,80.76923076923077,82.75862068965517,91.42857142857143,61.53846153846154,100.0,80.32786885245902,83.33333333333334
gemma-3-27b-it,80.7017543859649,59.57446808510638,86.53846153846155,72.41379310344827,82.85714285714286,79.12087912087912,87.5,77.04918032786885,79.76190476190477
gemma-3-12b-it,71.9298245614035,59.57446808510638,78.84615384615384,75.86206896551724,80.0,73.62637362637363,100.0,75.40983606557377,75.0
gemma-3-4b-it,63.1578947368421,53.191489361702125,59.61538461538461,51.724137931034484,74.28571428571429,53.333333333333336,75.0,54.09836065573771,67.85714285714286
Qwen3.5-2B,70.17543859649122,48.93617021276596,59.61538461538461,50.0,67.14285714285714,40.0,87.5,57.377049180327866,58.333333333333336
Meta-Llama-3.1-8B-Instruct,64.91228070175438,48.93617021276596,67.3076923076923,51.724137931034484,71.42857142857143,35.95505617977528,87.5,49.18032786885246,57.14285714285714
Qwen3.5-0.8B,54.385964912280706,36.95652173913043,46.15384615384615,37.93103448275862,42.857142857142854,29.213483146067414,75.0,54.09836065573771,46.42857142857143
