year,DeepSeek-V3.2,DeepSeek-V4-Flash,GLM-5.1,Llama-3.3-70B-Instruct-Turbo,Meta-Llama-3.1-8B-Instruct,Qwen3.5-0.8B,Qwen3.5-2B,Qwen3.5-4B,gemma-3-12b-it,gemma-3-27b-it,gemma-3-4b-it,gemma-4-31B-it
2009,91.37931034482759,87.93103448275862,93.64161849710982,82.75862068965517,58.38150289017341,43.27485380116959,59.06432748538012,82.75862068965517,71.83908045977012,78.16091954022988,59.77011494252874,91.37931034482759
2010,87.5,86.41304347826086,90.76086956521739,78.80434782608695,62.08791208791209,48.06629834254144,62.5,84.15300546448088,75.54347826086956,81.52173913043478,59.78260869565217,86.95652173913044
2011,88.64864864864866,87.56756756756758,86.88524590163934,84.32432432432432,69.1891891891892,53.2608695652174,63.58695652173913,84.86486486486487,74.5945945945946,83.24324324324324,63.78378378378379,88.64864864864866
2012,90.65934065934066,92.3076923076923,95.6043956043956,84.06593406593407,67.58241758241759,46.927374301675975,66.29834254143645,87.36263736263736,78.02197802197803,80.76923076923077,61.53846153846154,91.75824175824175
2013,85.55555555555556,86.11111111111111,88.63636363636364,76.11111111111111,58.88888888888889,43.82022471910113,55.865921787709496,83.24022346368714,70.0,72.77777777777777,59.217877094972074,86.66666666666667
2014,89.63414634146342,88.41463414634147,91.9753086419753,81.70731707317073,70.98765432098766,48.170731707317074,64.81481481481481,84.04907975460122,74.39024390243902,77.4390243902439,57.92682926829268,90.2439024390244
2015,82.24852071005917,84.02366863905326,89.0909090909091,75.7396449704142,61.30952380952381,41.31736526946108,62.27544910179641,77.97619047619048,73.37278106508876,74.55621301775149,60.11904761904761,86.3905325443787
2016,85.625,85.09316770186336,86.25,75.15527950310559,60.0,44.936708860759495,56.25,77.01863354037268,67.08074534161491,73.91304347826086,58.490566037735846,85.09316770186336
2017,81.31868131868131,85.16483516483517,88.88888888888889,74.72527472527473,61.452513966480446,43.646408839779006,58.333333333333336,83.51648351648352,65.93406593406593,75.82417582417582,61.87845303867403,86.26373626373626
2018,86.20689655172413,88.50574712643679,90.58823529411765,75.86206896551724,55.172413793103445,37.7906976744186,47.674418604651166,82.18390804597702,70.11494252873564,78.16091954022988,52.29885057471264,87.93103448275862
2019,93.29268292682927,93.93939393939394,93.16770186335404,81.21212121212122,58.895705521472394,41.46341463414634,55.55555555555556,91.46341463414635,67.87878787878789,83.63636363636363,53.04878048780488,95.75757575757575
2020,85.47486033519553,87.70949720670392,92.09039548022598,77.09497206703911,60.893854748603346,41.57303370786517,59.65909090909091,83.24022346368714,68.15642458100558,77.6536312849162,60.893854748603346,90.5027932960894
2021,84.69945355191257,85.79234972677595,90.0,80.87431693989072,63.18681318681318,41.53005464480874,59.89010989010989,81.9672131147541,74.31693989071039,78.14207650273224,57.92349726775956,89.07103825136612
2022,89.07103825136612,87.43169398907104,92.77777777777779,74.86338797814209,64.83516483516483,43.0939226519337,61.66666666666667,89.07103825136612,76.50273224043715,84.06593406593407,59.89010989010989,91.2568306010929
2023,90.0,87.6923076923077,93.07692307692308,79.23076923076923,59.68992248062015,53.17460317460318,61.53846153846154,87.6923076923077,73.84615384615385,80.76923076923077,59.68992248062015,94.61538461538461
